component	engine	booster	weapon_0
s	s	s	s
bst_mk1			
bst_mk2			
bst_mk3			
bst_mk4			
bst_xwing_booster_s01			
eng_crafted_incom_fusialthrust			
eng_crafted_novaldex_eventhorizon			
eng_crafted_qualdex_kyromaster			
eng_incom_fusialthrust			
eng_novaldex_eventhorizon			
eng_qualdex_kyromaster			
wpn_advanced_blaster			
wpn_crafted_incom_disruptor			
wpn_crafted_slayn_ioncannon			
wpn_crafted_subpro_tripleblaster			
wpn_heavy_blaster			
wpn_heavy_ioncannon			
wpn_incom_disruptor			
wpn_light_blaster			
wpn_light_disruptor			
wpn_light_ioncannon			
wpn_medium_blaster			
wpn_medium_disruptor			
wpn_medium_ioncannon			
wpn_slayn_ioncannon			
wpn_subpro_tripleblaster			
